id,time,user,msg
647,14:03:17,testrunnerice,test
1354,14:15:11,pankornza,HeyGuys
1359,14:15:17,kipsoo6,hi
1363,14:15:21,guymay1702,hi
1364,14:15:21,toodthaiindy,HIIII
1365,14:15:23,moszamos098,HeyGuys 3
1369,14:15:27,mrforzechy,hi
1374,14:15:32,tsunji_b3,hi
1408,14:16:06,moszamos098,-P1+: +
1418,14:16:16,pankornza,-P2- : Noob
1419,14:16:18,moszamos098,P1+: a
1422,14:16:21,toodthaiindy,P2-: Just give up bro
1426,14:16:25,nineria_nananai,P2-: you belong in the museum!
1435,14:16:34,tsunji_b3,P1: LET'S GOOOOO
1436,14:16:35,toodthaiindy,P1+: Fighting!!!!!
1439,14:16:38,kipsoo6,P1+: Fighting!
1440,14:16:39,mrforzechy,P1+: NICE
1443,14:16:42,guymay1702,P1+:Fighting
1444,14:16:43,tsunji_b3,P1+: LET'S GOOOOO
1448,14:16:47,toodthaiindy,P1+: WP
1449,14:16:48,moszamos098,P1+: go
1457,14:16:57,toodthaiindy,P2-: GGEZ
1457,14:16:57,nineria_nananai,P2-: you belong in the museum!
1457,14:16:57,guymay1702,P1+:GG
1459,14:16:59,tsunji_b3,P2-:Just give up
