id,time,user,msg
0,14:17:41,testrunnerice,test
41,14:18:21,moszamos098,P1+: Fighting
41,14:18:22,toodthaiindy,P2-: Give up plz
48,14:18:29,kipsoo6,P1+: Fighting!
49,14:18:30,toodthaiindy,P1+: GOOOOOOOOOOO
50,14:18:31,guymay1702,P1+:kick
51,14:18:32,nineria_nananai,P2-: you belong in the museum!
54,14:18:35,tsunji_b3,P2-: Stop trying
55,14:18:36,moszamos098,P1+: kick
64,14:18:44,moszamos098,P1+: Fight!!
66,14:18:47,pankornza,-P1+: I’ve got your back.
67,14:18:48,tsunji_b3,P1+:THAT'S Lit
72,14:18:53,toodthaiindy,P2-: just lost
73,14:18:54,copper_coyn,P1+: fighting!
75,14:18:55,moszamos098,P1+: goooo
76,14:18:57,mrforzechy,P1 +: go
81,14:19:01,guymay1702,P1+:let go
81,14:19:02,pankornza,-P1+: Kick him!
83,14:19:04,moszamos098,P1+: LUL
84,14:19:05,nineria_nananai,P2-: you belong in the museum!
85,14:19:05,toodthaiindy,P1+: fight!!!!
85,14:19:06,kipsoo6,P1+: Fighting!
87,14:19:08,tsunji_b3,P1+: Pog Champ Let's go bois
90,14:19:11,moszamos098,P1+: fight
101,14:19:22,moszamos098,P1+: Let'sgo
103,14:19:24,tsunji_b3,P1+:That's my boy
107,14:19:28,guymay1702,P1+:Fighting
107,14:19:28,copper_coyn,P1+: go
108,14:19:29,moszamos098,P1+: ez game
113,14:19:34,moszamos098,P1+: kick
114,14:19:35,tsunji_b3,P2+:Losing up yo
115,14:19:36,nineria_nananai,P2-: you belong in the museum!
117,14:19:38,kipsoo6,P1+: Fighting!
120,14:19:42,toodthaiindy,P2-: Die!!!!!
124,14:19:45,guymay1702,P1+:GG ez
124,14:19:45,moszamos098,P1+: Fighting!!!
124,14:19:45,mrforzechy,P1+ : COMBO
127,14:19:48,copper_coyn,P1+: fighting fighting fighting!!!
129,14:19:50,moszamos098,P1+: WP
132,14:19:53,moszamos098,P1+: GG
132,14:19:53,tsunji_b3,P2-:What is that wierd move
135,14:19:56,guymay1702,P1+:go
136,14:19:57,toodthaiindy,P1+: just win this game
142,14:20:03,moszamos098,P1+: Fighting!!
144,14:20:05,tsunji_b3,P1+:Murder him
145,14:20:07,nineria_nananai,P2-: you belong in the museum!
149,14:20:10,kipsoo6,P1+: Fighting!
150,14:20:12,toodthaiindy,P2-: lol
153,14:20:14,moszamos098,P1+: this ez game
156,14:20:18,tsunji_b3,P2-:You actually trolling
167,14:20:28,moszamos098,P1+: Fight
173,14:20:35,tsunji_b3,P1+:Dodge him
174,14:20:35,moszamos098,P1+: Fight more
175,14:20:37,nineria_nananai,P2-: you belong in the museum!
179,14:20:41,kipsoo6,P1+: Fighting!
179,14:20:41,copper_coyn,P2-: go go
181,14:20:43,mrforzechy,P2- : KEKW
182,14:20:43,moszamos098,P1+: Fight!!
182,14:20:43,guymay1702,P1+:kick him
182,14:20:44,toodthaiindy,P1+: kill him
184,14:20:45,tsunji_b3,P2-:stop moving
185,14:20:47,pankornza,-P2-: Die please
192,14:20:54,moszamos098,P1+: kick him
193,14:20:55,guymay1702,P1+:fight
193,14:20:55,copper_coyn,P1+: Fighting!
194,14:20:56,tsunji_b3,P1+:Kill him
198,14:21:00,moszamos098,P1+: Kill him
199,14:21:00,toodthaiindy,P1+: pushhhhhhh
204,14:21:05,mrforzechy,P1+: use final move
204,14:21:06,guymay1702,P1+:kill
206,14:21:08,nineria_nananai,P2-: you belong in the museum!
206,14:21:08,tsunji_b3,P2-:Just don't move
209,14:21:11,moszamos098,P1+: Fighting!
212,14:21:14,tsunji_b3,P1+:Need healing
215,14:21:17,kipsoo6,P1+: Fighting!
216,14:21:17,toodthaiindy,P2-: just give up
220,14:21:21,moszamos098,P1+: Fighting !!!
222,14:21:24,tsunji_b3,P2+:Sleep now
223,14:21:25,toodthaiindy,P2-: no
