id,time,dominance,pos,pos1,pos2,neg,neg1,neg2,f_p1,f_p2,hp1,hp2
0,16:25:47,-0.75,5,1,4,3,3,0,0.75,-0.75,0,-115
1,16:25:48,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
2,16:25:49,-0.75,4,1,3,4,4,0,0.75,-0.75,0,-115
3,16:25:50,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
4,16:25:51,-0.75,5,1,4,3,3,0,0.75,-0.75,0,-115
5,16:25:52,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
6,16:25:53,-0.75,4,1,3,4,4,0,0.75,-0.75,0,-115
7,16:25:54,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
8,16:25:55,-0.75,5,1,4,3,3,0,0.75,-0.75,0,-115
9,16:25:56,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
10,16:25:57,-0.75,4,1,3,4,4,0,0.75,-0.75,0,-115
11,16:25:58,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
12,16:25:59,-0.75,5,1,4,3,3,0,0.75,-0.75,0,-115
13,16:26:00,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
14,16:26:01,-0.75,4,1,3,4,4,0,0.75,-0.75,0,-115
15,16:26:02,-1,4,0,4,4,4,0,1,-1,0,-115
16,16:26:03,-1,4,0,4,3,3,0,1,-1,0,-115
17,16:26:04,-1,4,0,4,4,4,0,1,-1,0,-115
18,16:26:05,-1,3,0,3,4,4,0,1,-1,0,-115
19,16:26:06,-1,4,0,4,4,4,0,1,-1,0,-115
20,16:26:07,-1,4,0,4,3,3,0,1,-1,0,-115
21,16:26:08,-1,4,0,4,4,4,0,1,-1,0,-115
22,16:26:09,-1,3,0,3,4,4,0,1,-1,0,-115
23,16:26:10,-1,4,0,4,4,4,0,1,-1,0,-115
24,16:26:11,-1,4,0,4,3,3,0,1,-1,0,-115
25,16:26:12,-1,4,0,4,4,4,0,1,-1,0,-115
26,16:26:13,-1,3,0,3,4,4,0,1,-1,0,-115
27,16:26:14,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
28,16:26:15,-0.75,5,1,4,3,3,0,0.75,-0.75,0,-115
29,16:26:16,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
30,16:26:17,-0.75,4,1,3,4,4,0,0.75,-0.75,0,-115
31,16:26:18,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
32,16:26:19,-0.75,5,1,4,3,3,0,0.75,-0.75,0,-115
33,16:26:20,-0.777777777777778,5,1,4,4,4,0,0.777777777777778,-0.777777777777778,0,-115
34,16:26:21,-0.75,4,1,3,4,4,0,0.75,-0.75,0,-115
35,16:26:22,-0.6,6,2,4,4,4,0,0.6,-0.6,0,-115
36,16:26:23,-0.555555555555556,6,2,4,3,3,0,0.555555555555556,-0.555555555555556,0,-115
