id,time,dominance,pos,pos1,pos2,neg,neg1,neg2,f_p1,f_p2,hp1,hp2
0,16:52:02,-1,4,0,4,3,3,0,1,-1,0,-413
1,16:52:03,-1,4,0,4,4,4,0,1,-1,0,-413
2,16:52:04,-1,3,0,3,4,4,0,1,-1,0,-413
3,16:52:05,-1,4,0,4,4,4,0,1,-1,0,-413
4,16:52:06,-1,4,0,4,3,3,0,1,-1,0,-413
5,16:52:07,-1,4,0,4,4,4,0,1,-1,0,-413
6,16:52:08,-1,3,0,3,4,4,0,1,-1,0,-413
7,16:52:09,-1,4,0,4,4,4,0,1,-1,0,-413
8,16:52:10,-1,4,0,4,3,3,0,1,-1,0,-413
9,16:52:11,-1,4,0,4,4,4,0,1,-1,0,-413
10,16:52:12,-1,3,0,3,4,4,0,1,-1,0,-413
11,16:52:13,-1,4,0,4,4,4,0,1,-1,0,-413
12,16:52:14,-1,4,0,4,3,3,0,1,-1,0,-413
13,16:52:15,-1,4,0,4,4,4,0,1,-1,0,-413
14,16:52:16,-1,3,0,3,4,4,0,1,-1,0,-413
15,16:52:17,-1,4,0,4,4,4,0,1,-1,0,-413
16,16:52:18,-1,4,0,4,3,3,0,1,-1,0,-413
17,16:52:19,-1,4,0,4,4,4,0,1,-1,0,-413
18,16:52:21,-1,3,0,3,4,4,0,1,-1,0,-413
19,16:52:22,-1,4,0,4,4,4,0,1,-1,0,-413
20,16:52:23,-1,4,0,4,3,3,0,1,-1,0,-413
21,16:52:24,-1,4,0,4,4,4,0,1,-1,0,-413
22,16:52:25,-1,3,0,3,4,4,0,1,-1,0,-413
23,16:52:26,-1,4,0,4,4,4,0,1,-1,0,-413
24,16:52:27,-1,4,0,4,3,3,0,1,-1,0,-413
25,16:52:28,-1,4,0,4,4,4,0,1,-1,0,-413
26,16:52:29,-1,3,0,3,4,4,0,1,-1,0,-413
27,16:52:30,-1,4,0,4,4,4,0,1,-1,0,-413
28,16:52:31,-1,4,0,4,3,3,0,1,-1,0,-413
29,16:52:32,-1,4,0,4,4,4,0,1,-1,0,-413
30,16:52:33,-1,3,0,3,4,4,0,1,-1,0,-413
31,16:52:34,-1,4,0,4,4,4,0,1,-1,0,-413
32,16:52:35,-1,4,0,4,3,3,0,1,-1,0,-413
33,16:52:36,-1,4,0,4,4,4,0,1,-1,0,-413
34,16:52:37,-1,3,0,3,4,4,0,1,-1,0,-413
35,16:52:38,-1,4,0,4,4,4,0,1,-1,0,-413
36,16:52:39,-1,4,0,4,3,3,0,1,-1,0,-413
37,16:52:40,-1,4,0,4,4,4,0,1,-1,0,-413
38,16:52:41,-1,3,0,3,4,4,0,1,-1,0,-413
39,16:52:42,-1,4,0,4,4,4,0,1,-1,0,-413
40,16:52:43,-1,4,0,4,3,3,0,1,-1,0,-413
41,16:52:44,-1,4,0,4,4,4,0,1,-1,0,-413
42,16:52:45,-1,3,0,3,4,4,0,1,-1,0,-413
43,16:52:46,-1,4,0,4,4,4,0,1,-1,0,-413
44,16:52:47,-1,4,0,4,3,3,0,1,-1,0,-413
45,16:52:48,-1,4,0,4,4,4,0,1,-1,0,-413
46,16:52:49,-1,3,0,3,4,4,0,1,-1,0,-413
47,16:52:50,-1,4,0,4,4,4,0,1,-1,0,-413
48,16:52:51,-1,4,0,4,3,3,0,1,-1,0,-413
49,16:52:52,-1,4,0,4,4,4,0,1,-1,0,-413
50,16:52:53,-1,3,0,3,4,4,0,1,-1,0,-413
51,16:52:54,-1,4,0,4,4,4,0,1,-1,0,-413
52,16:52:55,-1,4,0,4,3,3,0,1,-1,0,-413
53,16:52:56,-1,4,0,4,4,4,0,1,-1,0,-413
54,16:52:57,-1,3,0,3,4,4,0,1,-1,0,-413
55,16:52:58,-1,4,0,4,4,4,0,1,-1,0,-413
56,16:52:59,-1,4,0,4,3,3,0,1,-1,0,-413
57,16:53:00,-1,4,0,4,4,4,0,1,-1,0,-413
58,16:53:01,-1,3,0,3,4,4,0,1,-1,0,-413
59,16:53:02,-1,4,0,4,4,4,0,1,-1,0,-413
60,16:53:03,-1,4,0,4,3,3,0,1,-1,0,-413
61,16:53:04,-1,4,0,4,4,4,0,1,-1,0,-413
62,16:53:05,-1,3,0,3,4,4,0,1,-1,0,-413
63,16:53:06,-1,4,0,4,4,4,0,1,-1,0,-413
64,16:53:07,-1,4,0,4,3,3,0,1,-1,0,-413
65,16:53:08,-1,4,0,4,4,4,0,1,-1,0,-413
66,16:53:09,-1,3,0,3,4,4,0,1,-1,0,-413
67,16:53:10,-1,4,0,4,4,4,0,1,-1,0,-413
68,16:53:11,-1,4,0,4,3,3,0,1,-1,0,-413
69,16:53:12,-1,4,0,4,4,4,0,1,-1,0,-413
70,16:53:13,-1,3,0,3,4,4,0,1,-1,0,-413
71,16:53:14,-1,4,0,4,4,4,0,1,-1,0,-413
72,16:53:15,-1,4,0,4,3,3,0,1,-1,0,-413
73,16:53:16,-1,4,0,4,4,4,0,1,-1,0,-413
74,16:53:17,-1,3,0,3,4,4,0,1,-1,0,-413
75,16:53:18,-1,4,0,4,4,4,0,1,-1,0,-413
76,16:53:19,-1,4,0,4,3,3,0,1,-1,0,-413
77,16:53:20,-1,4,0,4,4,4,0,1,-1,0,-413
78,16:53:21,-1,3,0,3,4,4,0,1,-1,0,-413
79,16:53:22,-1,4,0,4,4,4,0,1,-1,0,-413
80,16:53:23,-1,4,0,4,3,3,0,1,-1,0,-413
81,16:53:24,-1,4,0,4,4,4,0,1,-1,0,-413
82,16:53:25,-1,3,0,3,4,4,0,1,-1,0,-413
83,16:53:26,-1,4,0,4,4,4,0,1,-1,0,-413
84,16:53:27,-1,4,0,4,3,3,0,1,-1,0,-413
85,16:53:28,-1,4,0,4,4,4,0,1,-1,0,-413
86,16:53:29,-1,3,0,3,4,4,0,1,-1,0,-413
87,16:53:30,-1,4,0,4,4,4,0,1,-1,0,-413
88,16:53:31,-1,4,0,4,3,3,0,1,-1,0,-413
89,16:53:32,-1,4,0,4,4,4,0,1,-1,0,-413
90,16:53:33,-1,3,0,3,4,4,0,1,-1,0,-413
91,16:53:34,-1,4,0,4,4,4,0,1,-1,0,-413
92,16:53:35,-1,4,0,4,3,3,0,1,-1,0,-413
93,16:53:36,-1,4,0,4,4,4,0,1,-1,0,-413
94,16:53:37,-1,3,0,3,4,4,0,1,-1,0,-413
95,16:53:38,-1,4,0,4,4,4,0,1,-1,0,-413
96,16:53:39,-1,4,0,4,3,3,0,1,-1,0,-413
97,16:53:40,-1,4,0,4,4,4,0,1,-1,0,-413
98,16:53:41,-1,3,0,3,4,4,0,1,-1,0,-413
99,16:53:42,-1,4,0,4,4,4,0,1,-1,0,-413
100,16:53:43,-1,4,0,4,3,3,0,1,-1,0,-413
101,16:53:44,-1,4,0,4,4,4,0,1,-1,0,-413
102,16:53:45,-1,3,0,3,4,4,0,1,-1,0,-413
103,16:53:46,-1,4,0,4,4,4,0,1,-1,0,-413
104,16:53:47,-1,4,0,4,3,3,0,1,-1,0,-413
105,16:53:48,-1,4,0,4,4,4,0,1,-1,0,-413
106,16:53:49,-1,3,0,3,4,4,0,1,-1,0,-413
107,16:53:50,-1,4,0,4,4,4,0,1,-1,0,-413
108,16:53:51,-1,4,0,4,3,3,0,1,-1,0,-413
109,16:53:52,-1,4,0,4,4,4,0,1,-1,0,-413
110,16:53:53,-1,3,0,3,4,4,0,1,-1,0,-413
111,16:53:54,-1,4,0,4,4,4,0,1,-1,0,-413
112,16:53:55,-1,4,0,4,3,3,0,1,-1,0,-413
113,16:53:56,-1,4,0,4,4,4,0,1,-1,0,-413
114,16:53:57,-1,3,0,3,4,4,0,1,-1,0,-413
115,16:53:58,-1,4,0,4,4,4,0,1,-1,0,-413
116,16:53:59,-1,4,0,4,3,3,0,1,-1,0,-413
117,16:54:00,-1,4,0,4,4,4,0,1,-1,0,-413
118,16:54:01,-1,3,0,3,4,4,0,1,-1,0,-413
119,16:54:02,-1,4,0,4,4,4,0,1,-1,0,-413
120,16:54:03,-1,4,0,4,3,3,0,1,-1,0,-413
121,16:54:04,-1,4,0,4,4,4,0,1,-1,0,-413
122,16:54:05,-1,3,0,3,4,4,0,1,-1,0,-413
123,16:54:06,-1,4,0,4,4,4,0,1,-1,0,-413
124,16:54:07,-1,4,0,4,3,3,0,1,-1,0,-413
125,16:54:08,-1,4,0,4,4,4,0,1,-1,0,-413
126,16:54:09,-1,3,0,3,4,4,0,1,-1,0,-413
127,16:54:10,-1,4,0,4,4,4,0,1,-1,0,-413
128,16:54:11,-1,4,0,4,3,3,0,1,-1,0,-413
129,16:54:12,-1,4,0,4,4,4,0,1,-1,0,-413
130,16:54:13,-1,3,0,3,4,4,0,1,-1,0,-413
131,16:54:14,-1,4,0,4,4,4,0,1,-1,0,-413
132,16:54:15,-1,4,0,4,3,3,0,1,-1,0,-413
133,16:54:16,-1,4,0,4,4,4,0,1,-1,0,-413
134,16:54:17,-1,3,0,3,4,4,0,1,-1,0,-413
135,16:54:18,-1,4,0,4,4,4,0,1,-1,0,-413
136,16:54:19,-1,4,0,4,3,3,0,1,-1,0,-413
137,16:54:20,-1,4,0,4,4,4,0,1,-1,0,-413
138,16:54:21,-1,3,0,3,4,4,0,1,-1,0,-413
139,16:54:22,-1,4,0,4,4,4,0,1,-1,0,-413
140,16:54:23,-1,4,0,4,3,3,0,1,-1,0,-413
141,16:54:24,-1,4,0,4,4,4,0,1,-1,0,-413
142,16:54:25,-1,3,0,3,4,4,0,1,-1,0,-413
143,16:54:26,-1,4,0,4,4,4,0,1,-1,0,-413
144,16:54:27,-1,4,0,4,3,3,0,1,-1,0,-413
145,16:54:28,-1,4,0,4,4,4,0,1,-1,0,-413
146,16:54:29,-1,3,0,3,4,4,0,1,-1,0,-413
147,16:54:30,-1,4,0,4,4,4,0,1,-1,0,-413
148,16:54:31,-1,4,0,4,3,3,0,1,-1,0,-413
149,16:54:32,-1,4,0,4,4,4,0,1,-1,0,-413
150,16:54:33,-1,3,0,3,4,4,0,1,-1,0,-413
151,16:54:34,-1,4,0,4,4,4,0,1,-1,0,-413
152,16:54:35,-1,4,0,4,3,3,0,1,-1,0,-413
153,16:54:36,-1,4,0,4,4,4,0,1,-1,0,-413
154,16:54:37,-1,3,0,3,4,4,0,1,-1,0,-413
155,16:54:38,-1,4,0,4,4,4,0,1,-1,0,-413
156,16:54:39,-1,4,0,4,3,3,0,1,-1,0,-413
157,16:54:40,-1,4,0,4,4,4,0,1,-1,0,-413
158,16:54:41,-1,3,0,3,4,4,0,1,-1,0,-413
159,16:54:42,-1,4,0,4,4,4,0,1,-1,0,-413
160,16:54:43,-1,4,0,4,3,3,0,1,-1,0,-413
161,16:54:44,-1,4,0,4,4,4,0,1,-1,0,-413
162,16:54:45,-1,3,0,3,4,4,0,1,-1,0,-413
163,16:54:46,-1,4,0,4,4,4,0,1,-1,0,-413
164,16:54:47,-1,4,0,4,3,3,0,1,-1,0,-413
165,16:54:48,-1,4,0,4,4,4,0,1,-1,0,-413
166,16:54:49,-1,3,0,3,4,4,0,1,-1,0,-413
167,16:54:50,-1,4,0,4,4,4,0,1,-1,0,-413
168,16:54:51,-1,4,0,4,3,3,0,1,-1,0,-413
169,16:54:52,-1,4,0,4,4,4,0,1,-1,0,-413
170,16:54:53,-1,3,0,3,4,4,0,1,-1,0,-413
171,16:54:54,-1,4,0,4,4,4,0,1,-1,0,-413
172,16:54:55,-1,4,0,4,3,3,0,1,-1,0,-413
173,16:54:56,-1,4,0,4,4,4,0,1,-1,0,-413
174,16:54:57,-1,3,0,3,4,4,0,1,-1,0,-413
175,16:54:58,-1,4,0,4,4,4,0,1,-1,0,-413
176,16:54:59,-1,4,0,4,3,3,0,1,-1,0,-413
177,16:55:00,-1,4,0,4,4,4,0,1,-1,0,-413
178,16:55:01,-1,3,0,3,4,4,0,1,-1,0,-413
179,16:55:02,-1,4,0,4,4,4,0,1,-1,0,-413
180,16:55:03,-1,4,0,4,3,3,0,1,-1,0,-413
181,16:55:04,-1,4,0,4,4,4,0,1,-1,0,-413
182,16:55:05,-1,3,0,3,4,4,0,1,-1,0,-413
183,16:55:06,-1,4,0,4,4,4,0,1,-1,0,-413
184,16:55:07,-1,4,0,4,3,3,0,1,-1,0,0
185,16:55:08,-1,4,0,4,4,4,0,1,-1,0,0
186,16:55:09,-1,3,0,3,4,4,0,1,-1,0,0
187,16:55:10,-1,4,0,4,4,4,0,1,-1,-5,0
188,16:55:11,-1,4,0,4,3,3,0,1,-1,-5,0
189,16:55:12,-1,4,0,4,4,4,0,1,-1,-5,0
190,16:55:13,-1,3,0,3,4,4,0,1,-1,-20,-10
191,16:55:14,-1,4,0,4,4,4,0,1,-1,-20,-10
192,16:55:15,-1,4,0,4,3,3,0,1,-1,-20,-10
193,16:55:16,-1,4,0,4,4,4,0,1,-1,-65,-20
