id,time,user,msg
0,15:20:33,ligoligo12,p1+: test
392,15:27:05,ligoligo12,p1+:test
654,15:31:28,cauliflovver,P1+: 1
655,15:31:29,thanapatodyssey,P1+:Fighting
658,15:31:32,salene96,P2+: Fight that AI
658,15:31:32,cauliflovver,P1+: 2
660,15:31:33,mrforzechy,p1=:the best
661,15:31:35,moszamos098,P2+: Fight
661,15:31:35,cauliflovver,P1+: 3
663,15:31:37,salene96,P1-: You're just AI
666,15:31:40,kipsoo6,P1+ : GG
666,15:31:40,moszamos098,P1-: noob
667,15:31:41,thanapatodyssey,P1+: kill him !
668,15:31:42,junkzx110,P1+:Fighting
669,15:31:43,tonguip2020,P1+: Fighting!
670,15:31:44,cauliflovver,P1+: Fight
671,15:31:45,thanapatodyssey,P1+: Fighting
674,15:31:48,moszamos098,P2+: this ez game
678,15:31:52,cauliflovver,P1+: go go
685,15:31:58,mrforzechy,p2-:you bobo
687,15:32:01,cauliflovver,P1+: just kill him
688,15:32:02,thanapatodyssey,P2-: noob
689,15:32:03,salene96,P2+: Just take that girl down
690,15:32:04,moszamos098,P1-: Noob
692,15:32:06,cauliflovver,P1+: just do it
697,15:32:10,thanapatodyssey,P2-: Die
697,15:32:11,salene96,P1-: Newbie
700,15:32:14,moszamos098,P1-: you noob
700,15:32:14,mrforzechy,P1+:THE BEST
701,15:32:14,kipsoo6,P2-: bobo obama kubota takahashi lol
703,15:32:17,salene96,P2+ You can do it
703,15:32:17,cauliflovver,P1+: go go
706,15:32:20,elenightth,P2+: go
707,15:32:21,cauliflovver,P1+: lnw
709,15:32:23,moszamos098,P1-: ez game
710,15:32:24,kipsoo6,P1+: Fighting
711,15:32:25,tonguip2020,P1+: go
712,15:32:26,mrforzechy,P1+: LET'S DO IT!
717,15:32:31,cauliflovver,P1+: punch him
719,15:32:33,moszamos098,P1-: Loser
722,15:32:36,pushmi_pullyu,P2+: go
725,15:32:39,salene96,P2+: Win !!!!!
727,15:32:40,mrforzechy,P2-:RUN AWAY!
729,15:32:42,seazagamer,P2+: Let's GO
729,15:32:42,moszamos098,P1-: noob
731,15:32:45,cauliflovver,P1+: 1+1=2
732,15:32:46,thanapatodyssey,P2-: Quit game now !
738,15:32:52,tonguip2020,P1+: Ez
738,15:32:52,mrforzechy,P1+:Let's go
739,15:32:53,kipsoo6,P2-: bobo
740,15:32:53,seazagamer,P2+: Pikachu use Thunderbolt
741,15:32:55,moszamos098,P2+: fight
742,15:32:56,thanapatodyssey,P1+: Fighting
743,15:32:57,salene96,P1-: Stop pretending just lay your body down there.
746,15:32:59,moszamos098,P2+: good
749,15:33:03,elenightth,P2+: fight
750,15:33:04,thanapatodyssey,P1+: Winner
751,15:33:05,moszamos098,P2+: great
752,15:33:05,tonguip2020,P1+: nice
754,15:33:08,cauliflovver,P1+: please win
755,15:33:08,moszamos098,P2+: winner
755,15:33:09,thanapatodyssey,P1+: nice try
760,15:33:13,moszamos098,P2+: win win win win
760,15:33:14,seazagamer,P2+ Flash Kick
760,15:33:14,salene96,P1-: Use your head stop using your feet.
763,15:33:17,thanapatodyssey,P2-: noob
764,15:33:17,mrforzechy,P1+: You are our last hope
764,15:33:18,moszamos098,P2+: nice nice
764,15:33:18,kipsoo6,P1+: Very Very good
766,15:33:19,cauliflovver,P2-: loser
769,15:33:23,salene96,P1-: use ur brain
770,15:33:24,seazagamer,P2+: Stronger
770,15:33:24,cauliflovver,P1+: go go
770,15:33:24,thanapatodyssey,P2-: so weak
771,15:33:25,tonguip2020,P1+: fighting!!!!!
773,15:33:27,cauliflovver,P1+: power
775,15:33:29,seazagamer,P2+: Motto stronger
776,15:33:30,cauliflovver,P1+: power++
778,15:33:32,thanapatodyssey,P2-: die pls
779,15:33:33,moszamos098,P2+: power1000%
780,15:33:34,cauliflovver,P1+: power +2
781,15:33:35,mrforzechy,P2-: YOU Can't win
781,15:33:35,kipsoo6,P2-: die
785,15:33:39,pushmi_pullyu,P2+ : attack
788,15:33:42,moszamos098,P2+: buff 50000%
792,15:33:46,cauliflovver,P1+: str+10
792,15:33:46,kipsoo6,P1+: Fighting!
794,15:33:48,seazagamer,P2+: Kick
796,15:33:50,moszamos098,P2+: give 90000$
797,15:33:51,thanapatodyssey,P2-: **** you player 2
801,15:33:56,cauliflovver,P1+: luck+200
805,15:34:00,tonguip2020,P1+: go
808,15:34:02,mrforzechy,P1+: use power !
809,15:34:03,seazagamer,P2+: HHH
809,15:34:03,moszamos098,P2+: give 90000000000$
810,15:34:04,salene96,P1-: **** player 1
811,15:34:05,cauliflovver,P1+: energy + 50
813,15:34:07,elenightth,P2+: go
818,15:34:12,moszamos098,P1-: 322 player
820,15:34:14,seazagamer,P2+: Use Full Restore
821,15:34:15,mrforzechy,P1+: THE WORLD!
822,15:34:16,cauliflovver,P2-: dmg-50
822,15:34:16,moszamos098,P2+: fight
823,15:34:17,thanapatodyssey,P1+: don't give up
824,15:34:18,moszamos098,P2+: go
827,15:34:21,tonguip2020,P1+: god
830,15:34:24,salene96,P2+: Calm down and focus on your move
831,15:34:26,moszamos098,P2+: kill it
832,15:34:27,mrforzechy,P1+: STAR PLATINUM THE WOLRD
833,15:34:27,cauliflovver,P2-: give up
836,15:34:30,junkzx110,P1+:Fighting
