id,time,user,msg
0,16:39:23,tsunji_b3,LUL
4,16:39:27,toodthaiindy,test
6,16:39:29,salene96,LUL
12,16:39:36,cauliflovver,WutFace
13,16:39:36,l3lackmegas,NotLikeThis NotLikeThis
15,16:39:38,deathtinyz123,Kappa
22,16:39:45,cauliflovver,112
23,16:39:46,toodthaiindy,1+
23,16:39:47,deathtinyz123,1150
25,16:39:49,cauliflovver,212
25,16:39:49,tsunji_b3,1 go
26,16:39:49,cauliflovver,224
27,16:39:50,pankornza,2+
27,16:39:50,toodthaiindy,1+ go
27,16:39:51,cauliflovver,236
28,16:39:51,junkzx110,1
29,16:39:52,cauliflovver,248
30,16:39:54,toodthaiindy,1+ nicw
30,16:39:54,pankornza,2++
31,16:39:54,tsunji_b3,2 slow
31,16:39:54,cauliflovver,2510
35,16:39:58,pankornza,2+
35,16:39:58,cauliflovver,2612
37,16:40:00,jookok2011,TakeNRG GivePLZ
37,16:40:00,toodthaiindy,1+ +++
37,16:40:00,tsunji_b3,2 stop
37,16:40:00,pankornza,2
37,16:40:00,benzandeye,1--
37,16:40:00,deathtinyz123,191
37,16:40:00,cauliflovver,2714
37,16:40:00,benzandeye,1-
38,16:40:02,pankornza,2++
40,16:40:03,junkzx110,1 GO
41,16:40:04,deathtinyz123,1112
41,16:40:04,cauliflovver,2816
41,16:40:04,pankornza,2+++
41,16:40:04,toodthaiindy,2- go
42,16:40:05,tsunji_b3,1 rider kick
44,16:40:07,pankornza,2
44,16:40:07,salene96,1 kill that newb
44,16:40:07,benzandeye,2
44,16:40:07,pankornza,2+
44,16:40:07,junkzx110,1+
44,16:40:07,benzandeye,22
46,16:40:09,cauliflovver,29
46,16:40:09,pankornza,2
48,16:40:11,pankornza,2+
48,16:40:11,cauliflovver,121
48,16:40:12,pankornza,2++
49,16:40:13,cauliflovver,122
50,16:40:13,tsunji_b3,1 low punch
50,16:40:13,junkzx110,1+++
50,16:40:13,pankornza,2+
50,16:40:14,toodthaiindy,2- kill your self
51,16:40:14,benzandeye,2++
54,16:40:17,cauliflovver,1++
55,16:40:18,tsunji_b3,1 e flash
55,16:40:18,salene96,2 newb
55,16:40:18,cauliflovver,1*1
55,16:40:18,junkzx110,1+ let's go
55,16:40:19,mrforzechy,2++
58,16:40:21,pankornza,22
58,16:40:21,benzandeye,1++
58,16:40:21,tsunji_b3,1 e q r w w q
58,16:40:21,cauliflovver,1+1/2
59,16:40:23,pankornza,22++
60,16:40:23,benzandeye,1-
62,16:40:25,pankornza,2+
63,16:40:26,toodthaiindy,1+ fight
63,16:40:26,benzandeye,1-1
63,16:40:26,tsunji_b3,1 reset
63,16:40:26,benzandeye,1-
63,16:40:26,toodthaiindy,1
63,16:40:26,toodthaiindy,2
64,16:40:27,cauliflovver,1+1
66,16:40:29,cauliflovver,111111111111111111111111
69,16:40:32,junkzx110,1 gogogogogo
69,16:40:33,tsunji_b3,2 stop
69,16:40:33,toodthaiindy,2- go away
71,16:40:34,cauliflovver,101
71,16:40:34,deathtinyz123,1 i cut my hair you don't care my heart
72,16:40:36,pankornza,2++
74,16:40:38,pankornza,2
74,16:40:38,tsunji_b3,2 sleepy
76,16:40:40,toodthaiindy,2-
80,16:40:44,tsunji_b3,2 weird
81,16:40:44,cauliflovver,1 cum
81,16:40:44,toodthaiindy,2- now
84,16:40:48,tsunji_b3,1 ay
86,16:40:49,cauliflovver,1 cuming
90,16:40:54,tsunji_b3,1 sup
91,16:40:55,toodthaiindy,2- dont move
91,16:40:55,salene96,2 stop figthing la
93,16:40:57,pankornza,2 go go go go go
95,16:40:58,cauliflovver,1 c u m
95,16:40:58,tsunji_b3,1 Let's go
99,16:41:03,toodthaiindy,2- don't move
99,16:41:03,tsunji_b3,2 Kekw
101,16:41:04,salene96,1 lalalalalalalalalalalala
102,16:41:06,cauliflovver,2 cum
102,16:41:06,toodthaiindy,2- stop
104,16:41:07,deathtinyz123,121
106,16:41:09,junkzx110,1 cum
106,16:41:09,deathtinyz123,131
113,16:41:17,tsunji_b3,2 Good Kappa
114,16:41:17,toodthaiindy,1+ fight
114,16:41:17,cauliflovver,2 2
114,16:41:17,toodthaiindy,1+ lets gop
114,16:41:17,cauliflovver,2 - 1
118,16:41:21,tsunji_b3,1 rider jump
122,16:41:25,junkzx110,1+ cum
124,16:41:27,deathtinyz123,1 low kick
124,16:41:27,pankornza,1+ fighting
124,16:41:27,toodthaiindy,1+ win this game
