id,time,dominance,pos,pos1,pos2,neg,neg1,neg2,f_p1,f_p2,hp1,hp2
0,22:13:02,1,1,1,0,0,0,0,-1,1,-50,-85
1,22:13:03,1,1,1,0,0,0,0,-1,1,-50,-85
2,22:13:04,1,1,1,0,0,0,0,-1,1,-50,-145
3,22:13:05,1,2,2,0,0,0,0,-1,1,-50,-145
4,22:13:06,1,2,2,0,0,0,0,-1,1,-50,-145
5,22:13:07,1,3,3,0,0,0,0,-1,1,-115,-160
6,22:13:08,1,3,3,0,0,0,0,-1,1,-115,-160
7,22:13:09,1,4,4,0,0,0,0,-1,1,-115,-160
8,22:13:10,1,4,4,0,0,0,0,-1,1,-115,-190
9,22:13:11,1,4,4,0,0,0,0,-1,1,-115,-190
10,22:13:12,1,5,5,0,0,0,0,-1,1,-115,-190
11,22:13:13,1,5,5,0,0,0,0,-1,1,-115,-235
12,22:13:14,1,5,5,0,0,0,0,-1,1,-115,-235
13,22:13:15,1,5,5,0,0,0,0,-1,1,-115,-235
14,22:13:16,1,5,5,0,0,0,0,-1,1,-125,-250
15,22:13:17,1,4,4,0,0,0,0,-1,1,-125,-250
16,22:13:18,1,4,4,0,0,0,0,-1,1,-125,-250
17,22:13:19,1,4,4,0,0,0,0,-1,1,-130,-260
18,22:13:20,1,3,3,0,0,0,0,-1,1,-130,-260
19,22:13:21,1,3,3,0,0,0,0,-1,1,-130,-260
20,22:13:22,1,2,2,0,0,0,0,-1,1,-143,-270
21,22:13:23,1,3,3,0,0,0,0,-1,1,-143,-270
22,22:13:24,1,2,2,0,0,0,0,-1,1,-143,-270
23,22:13:25,1,2,2,0,0,0,0,-1,1,-158,-300
24,22:13:26,1,2,2,0,0,0,0,-1,1,-158,-300
25,22:13:27,1,2,2,0,0,0,0,-1,1,-158,-300
26,22:13:28,1,2,2,0,0,0,0,-1,1,-158,-330
27,22:13:29,1,2,2,0,0,0,0,-1,1,-158,-330
28,22:13:30,1,2,2,0,0,0,0,-1,1,-158,-330
29,22:13:31,1,2,2,0,0,0,0,-1,1,-178,-343
30,22:13:32,1,2,2,0,0,0,0,-1,1,-178,-343
31,22:13:33,1,2,2,0,0,0,0,-1,1,-178,-343
32,22:13:34,1,2,2,0,0,0,0,-1,1,-178,-393
33,22:13:35,1,2,2,0,0,0,0,-1,1,-178,-393
34,22:13:36,1,2,2,0,1,0,1,-1,1,-178,-393
35,22:13:37,1,2,2,0,1,0,1,-1,1,-188,-393
36,22:13:38,1,1,1,0,1,0,1,-1,1,-188,-393
37,22:13:39,1,1,1,0,2,0,2,-1,1,-188,-393
38,22:13:40,1,1,1,0,2,0,2,-1,1,-220,-403
39,22:13:41,1,1,1,0,2,0,2,-1,1,-220,-403
40,22:13:42,1,0,0,0,2,0,2,-1,1,-220,-403
41,22:13:43,1,0,0,0,2,0,2,-1,1,-245,-423
42,22:13:44,1,0,0,0,2,0,2,-1,1,-245,-423
43,22:13:45,1,0,0,0,2,0,2,-1,1,-245,-423
44,22:13:46,1,0,0,0,2,0,2,-1,1,-285,-443
45,22:13:47,1,0,0,0,2,0,2,-1,1,-285,-443
46,22:13:48,1,0,0,0,2,0,2,-1,1,-285,-443
47,22:13:49,1,0,0,0,2,0,2,-1,1,-297,-483
48,22:13:50,1,0,0,0,2,0,2,-1,1,-297,-483
49,22:13:51,1,0,0,0,1,0,1,-1,1,-297,-483
