id,time,user,msg
0,17:01:44,testrunnerice,1
106,17:03:30,tsunji_b3,hi
111,17:03:35,tsunji_b3,ขึ้นมั้ย
123,17:03:48,tsunji_b3,ไม่ขึ้นหรอ
129,17:03:54,jookok2011,ไม่ขึ้นน
136,17:04:00,jookok2011,ขึ้นยังง
137,17:04:01,tsunji_b3,ผมใช้โทรศัพท์
146,17:04:11,jookok2011,ใช้ไวไฟตัวเอง
194,17:04:59,benzandeye,Hey
202,17:05:07,junkzx110,Test บน เน็ตมือถือ
211,17:05:16,junkzx110,Hi
211,17:05:16,deathtinyz123,Kappa
228,17:05:33,deathtinyz123,MercyWing1 Kappa MercyWing2
245,17:05:50,l3lackmegas,Test from my mobile data.
253,17:05:59,jookok2011,Squid1 Squid2 Squid2 Squid3 Squid2 Squid2 Squid4
320,17:07:06,tsunji_b3,พิมไม่ด้าย
327,17:07:12,tsunji_b3,โทรศัพท์ไม่ถนัด555555
336,17:07:22,jookok2011,PowerUpL CrreamAwk PowerUpR
339,17:07:24,salene96,1 gogo
340,17:07:26,deathtinyz123,print('Hello World')
350,17:07:36,salene96,2 newb
358,17:07:44,tsunji_b3,1 go
359,17:07:45,junkzx110,Test  บนเน็ต Hotspot
363,17:07:49,jookok2011,TakeNRG TakeNRG TakeNRG GivePLZ GivePLZ TheTarFu
368,17:07:54,salene96,1 hwaiting
373,17:07:59,tsunji_b3,2 hhaha
376,17:08:02,tsunji_b3,1 ajaj
380,17:08:06,tsunji_b3,1 ahajsjwj
382,17:08:08,tsunji_b3,2jajsj
384,17:08:10,junkzx110,1 gogogogogogo
385,17:08:11,tsunji_b3,1ajjsieiej
388,17:08:14,tsunji_b3,2!aoaooa
390,17:08:16,junkzx110,1+ gogo
391,17:08:17,tsunji_b3,1aksodoo
392,17:08:18,salene96,1 gogogogo
394,17:08:20,tsunji_b3,2skfoeood
396,17:08:22,benzandeye,1 low energy
397,17:08:23,tsunji_b3,1kzkroso
401,17:08:27,deathtinyz123,1 oraoraoraoraoraoraoraoraora
404,17:08:30,tsunji_b3,2dodkoxodoo
410,17:08:36,tsunji_b3,1 La the team
411,17:08:37,junkzx110,1+ wowowowoowowowowow
411,17:08:38,salene96,2 stop being a newb
412,17:08:38,deathtinyz123,1 yamero
413,17:08:39,jookok2011,Fighting ari gatooooooooooooooo
413,17:08:39,tsunji_b3,2 weeks of culture r
413,17:08:39,junkzx110,1 yehhh
415,17:08:41,junkzx110,1 wooo
415,17:08:41,toodthaiindy,1
416,17:08:42,tsunji_b3,1 ahajsjwj to be Aiesecer you
416,17:08:42,junkzx110,1 gogo
418,17:08:45,junkzx110,1 fight
419,17:08:46,toodthaiindy,1 ja
420,17:08:46,tsunji_b3,2 I am very interested and
420,17:08:47,junkzx110,1 yehh
421,17:08:48,toodthaiindy,1 djdok
423,17:08:50,jookok2011,kill them allllllllllllllllllllllllllllllll
424,17:08:50,toodthaiindy,1 skck
426,17:08:53,tsunji_b3,1 ahajsjwj I am very excited I
427,17:08:53,toodthaiindy,1 dkdop
428,17:08:55,salene96,1 goooooooo
429,17:08:55,toodthaiindy,2 socj
430,17:08:56,tsunji_b3,2 hhaha you all the time of
431,17:08:57,toodthaiindy,2 ddico
433,17:09:00,tsunji_b3,1 ahajsjwj to be Aiesecer for
433,17:09:00,toodthaiindy,2 djalp
434,17:09:00,ferrieberrie,1 go
435,17:09:01,jookok2011,2 susu naja
436,17:09:02,ferrieberrie,Go
438,17:09:04,tsunji_b3,1 ajaj you have a good time and I am a little
438,17:09:05,toodthaiindy,2 jdjdjdjd
440,17:09:06,jookok2011,1 jai yenyen
441,17:09:08,toodthaiindy,2 sjdjdif
442,17:09:08,tsunji_b3,2 I can do it as soon you all are
443,17:09:09,ferrieberrie,Igo
443,17:09:10,toodthaiindy,2 cjdow
445,17:09:11,tsunji_b3,2 hhaha you will find my CV
445,17:09:12,toodthaiindy,2 dialp
448,17:09:14,tsunji_b3,1 go through this email has not
448,17:09:14,toodthaiindy,2 diosqokd
450,17:09:17,salene96,1 let’s goooooo
451,17:09:17,tsunji_b3,2 weeks to be able I
451,17:09:18,toodthaiindy,2 djdowokqkfndkd
451,17:09:18,ferrieberrie,Sawadeekub
454,17:09:21,toodthaiindy,2 djdooks
455,17:09:21,tsunji_b3,1 wi to be easier if you are
457,17:09:24,toodthaiindy,2 djndkckdkd
458,17:09:25,jookok2011,2 let's them fight
458,17:09:25,tsunji_b3,2 I can work on it 😂 I am
460,17:09:26,toodthaiindy,2 djckoska
462,17:09:28,tsunji_b3,2 I can work with other people
462,17:09:29,toodthaiindy,2 djckskw
465,17:09:32,toodthaiindy,2 ndkdkosoo
467,17:09:33,tsunji_b3,2 weeks to go back in touch I
467,17:09:34,ferrieberrie,1 Go
468,17:09:34,deathtinyz123,1 iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
469,17:09:36,benzandeye,1 พลังคลื่นเต่า
469,17:09:36,toodthaiindy,2 nonono o
472,17:09:39,tsunji_b3,1@ you all are well I
472,17:09:39,ferrieberrie,Susu
472,17:09:39,jookok2011,1 godzila
473,17:09:40,toodthaiindy,1 djcoosp
476,17:09:43,toodthaiindy,1 djckls
477,17:09:43,jookok2011,2 kingkong
478,17:09:45,toodthaiindy,1 djckps
479,17:09:46,tsunji_b3,1 uwu
480,17:09:47,deathtinyz123,1 kimoji
480,17:09:47,toodthaiindy,1 dkcoos
482,17:09:49,toodthaiindy,1 djcpddp
483,17:09:49,tsunji_b3,2 hhaha to say that I am not
484,17:09:51,toodthaiindy,1 dkcoc
485,17:09:52,ferrieberrie,1
486,17:09:53,tsunji_b3,1 ahajsjwj to say thank you so very excited
489,17:09:55,ferrieberrie,1 please
489,17:09:56,toodthaiindy,2 dkcop
492,17:09:58,tsunji_b3,2 hhaha I can work on the day I was
492,17:09:58,toodthaiindy,2 cop
494,17:10:01,toodthaiindy,2 dkcksk
495,17:10:02,toodthaiindy,2 fkclpa
497,17:10:03,jookok2011,1 Bat vs supe
497,17:10:04,tsunji_b3,1 go with other members to go with you
498,17:10:05,toodthaiindy,2 fnckpspqjfoc
501,17:10:08,toodthaiindy,2 dkocownsiogks
501,17:10:08,tsunji_b3,2 hhaha you all are well and I want to be Aiesecer
505,17:10:11,toodthaiindy,2 dkocpssnf
505,17:10:12,tsunji_b3,1 go through it as soon you can do
506,17:10:13,salene96,2 noobbbbbbb
507,17:10:14,toodthaiindy,2 dkckkv
508,17:10:15,deathtinyz123,1 Aimbot
508,17:10:15,tsunji_b3,2 weeks of salem to the team at all possible
509,17:10:16,toodthaiindy,1 fkckpspwo
511,17:10:18,toodthaiindy,1 skckpcpd
512,17:10:18,tsunji_b3,1 ahajsjwj to be Aiesecer for a while ago
514,17:10:21,toodthaiindy,1 dcocold
