id,time,user,msg
148,17:19:27,icelabtwitch,test
370,17:23:10,thanapatodyssey,hi
372,17:23:13,nineria_nananai,hi
374,17:23:14,boatmessi02,hi
382,17:23:23,l3lackmegas,Hi
383,17:23:24,moszamos098,hi
394,17:23:35,seazagamer,AADS
410,17:23:50,tonguip2020,hi
410,17:23:51,seazagamer,P1+: AADS
424,17:24:05,jamessgle,yahhh
430,17:24:10,thanapatodyssey,1 fighting
430,17:24:11,seazagamer,P1+: XXX
440,17:24:21,nineria_nananai,P1+: Minecraft
444,17:24:24,l3lackmegas,1 Fight !
446,17:24:27,seazagamer,1 Fighting!
448,17:24:28,moszamos098,1 fight
448,17:24:28,jamessgle,1 go!
450,17:24:31,boatmessi02,P1+: fight
451,17:24:32,moszamos098,1 fff
452,17:24:33,thanapatodyssey,1 fighting fighting
452,17:24:33,moszamos098,1s
457,17:24:38,seazagamer,1 mc.dtnd.co
457,17:24:38,boatmessi02,1 fight
457,17:24:38,mrforzechy,2 fight!
457,17:24:38,jamessgle,1 fight
457,17:24:38,moszamos098,1fighting
459,17:24:40,nineria_nananai,P1+: PUBG
462,17:24:43,jamessgle,1 kill
462,17:24:43,moszamos098,1 go go
464,17:24:45,tonguip2020,1 Hey there people
465,17:24:46,l3lackmegas,2 give up
465,17:24:46,seazagamer,2 fucking-thai.dev
467,17:24:48,moszamos098,1 kill
467,17:24:48,thanapatodyssey,1 win win win
467,17:24:48,nineria_nananai,P2-:noob
469,17:24:50,l3lackmegas,1 you can do it
471,17:24:52,moszamos098,1 test
474,17:24:55,nineria_nananai,P2-:-HP
476,17:24:56,tonguip2020,1 -
476,17:24:57,moszamos098,1 win win
482,17:25:02,tonguip2020,2 boo
485,17:25:06,nineria_nananai,1 -
488,17:25:09,jamessgle,1 kick
488,17:25:09,thanapatodyssey,1 win win
489,17:25:10,nineria_nananai,1 punch
492,17:25:12,tonguip2020,2 LOL
493,17:25:14,jamessgle,1 win
499,17:25:20,jamessgle,2 lol
500,17:25:21,l3lackmegas,1 fly to the moon
500,17:25:21,boatmessi02,1 go go
500,17:25:21,seazagamer,1 time of day fucking shit
