id,time,user,msg
0,15:20:33,ligoligo12,p1+: test
392,15:27:05,ligoligo12,p1+:test
654,15:31:28,cauliflovver,P1+: 1
655,15:31:29,thanapatodyssey,P1+:Fighting
658,15:31:32,salene96,P2+: Fight that AI
658,15:31:32,cauliflovver,P1+: 2
660,15:31:33,mrforzechy,p1=:the best
661,15:31:35,moszamos098,P2+: Fight
661,15:31:35,cauliflovver,P1+: 3
663,15:31:37,salene96,P1-: You're just AI
666,15:31:40,kipsoo6,P1+ : GG
666,15:31:40,moszamos098,P1-: noob
667,15:31:41,thanapatodyssey,P1+: kill him !
668,15:31:42,junkzx110,P1+:Fighting
669,15:31:43,tonguip2020,P1+: Fighting!
670,15:31:44,cauliflovver,P1+: Fight
671,15:31:45,thanapatodyssey,P1+: Fighting
674,15:31:48,moszamos098,P2+: this ez game
678,15:31:52,cauliflovver,P1+: go go
685,15:31:58,mrforzechy,p2-:you bobo
687,15:32:01,cauliflovver,P1+: just kill him
688,15:32:02,thanapatodyssey,P2-: noob
689,15:32:03,salene96,P2+: Just take that girl down
690,15:32:04,moszamos098,P1-: Noob
692,15:32:06,cauliflovver,P1+: just do it
697,15:32:10,thanapatodyssey,P2-: Die
697,15:32:11,salene96,P1-: Newbie
700,15:32:14,moszamos098,P1-: you noob
700,15:32:14,mrforzechy,P1+:THE BEST
701,15:32:14,kipsoo6,P2-: bobo obama kubota takahashi lol
703,15:32:17,salene96,P2+ You can do it
703,15:32:17,cauliflovver,P1+: go go
706,15:32:20,elenightth,P2+: go
707,15:32:21,cauliflovver,P1+: lnw
709,15:32:23,moszamos098,P1-: ez game
710,15:32:24,kipsoo6,P1+: Fighting
711,15:32:25,tonguip2020,P1+: go
712,15:32:26,mrforzechy,P1+: LET'S DO IT!
717,15:32:31,cauliflovver,P1+: punch him
719,15:32:33,moszamos098,P1-: Loser
722,15:32:36,pushmi_pullyu,P2+: go
725,15:32:39,salene96,P2+: Win !!!!!
727,15:32:40,mrforzechy,P2-:RUN AWAY!
729,15:32:42,seazagamer,P2+: Let's GO
729,15:32:42,moszamos098,P1-: noob
731,15:32:45,cauliflovver,P1+: 1+1=2
732,15:32:46,thanapatodyssey,P2-: Quit game now !
738,15:32:52,tonguip2020,P1+: Ez
738,15:32:52,mrforzechy,P1+:Let's go
739,15:32:53,kipsoo6,P2-: bobo
740,15:32:53,seazagamer,P2+: Pikachu use Thunderbolt
741,15:32:55,moszamos098,P2+: fight
742,15:32:56,thanapatodyssey,P1+: Fighting
743,15:32:57,salene96,P1-: Stop pretending just lay your body down there.
746,15:32:59,moszamos098,P2+: good
749,15:33:03,elenightth,P2+: fight
750,15:33:04,thanapatodyssey,P1+: Winner
751,15:33:05,moszamos098,P2+: great
752,15:33:05,tonguip2020,P1+: nice
754,15:33:08,cauliflovver,P1+: please win
755,15:33:08,moszamos098,P2+: winner
755,15:33:09,thanapatodyssey,P1+: nice try
760,15:33:13,moszamos098,P2+: win win win win
760,15:33:14,seazagamer,P2+ Flash Kick
760,15:33:14,salene96,P1-: Use your head stop using your feet.
763,15:33:17,thanapatodyssey,P2-: noob
764,15:33:17,mrforzechy,P1+: You are our last hope
764,15:33:18,moszamos098,P2+: nice nice
764,15:33:18,kipsoo6,P1+: Very Very good
766,15:33:19,cauliflovver,P2-: loser
769,15:33:23,salene96,P1-: use ur brain
770,15:33:24,seazagamer,P2+: Stronger
770,15:33:24,cauliflovver,P1+: go go
770,15:33:24,thanapatodyssey,P2-: so weak
771,15:33:25,tonguip2020,P1+: fighting!!!!!
773,15:33:27,cauliflovver,P1+: power
775,15:33:29,seazagamer,P2+: Motto stronger
776,15:33:30,cauliflovver,P1+: power++
778,15:33:32,thanapatodyssey,P2-: die pls
779,15:33:33,moszamos098,P2+: power1000%
780,15:33:34,cauliflovver,P1+: power +2
781,15:33:35,mrforzechy,P2-: YOU Can't win
781,15:33:35,kipsoo6,P2-: die
785,15:33:39,pushmi_pullyu,P2+ : attack
788,15:33:42,moszamos098,P2+: buff 50000%
792,15:33:46,cauliflovver,P1+: str+10
792,15:33:46,kipsoo6,P1+: Fighting!
794,15:33:48,seazagamer,P2+: Kick
796,15:33:50,moszamos098,P2+: give 90000$
797,15:33:51,thanapatodyssey,P2-: **** you player 2
801,15:33:56,cauliflovver,P1+: luck+200
805,15:34:00,tonguip2020,P1+: go
808,15:34:02,mrforzechy,P1+: use power !
809,15:34:03,seazagamer,P2+: HHH
809,15:34:03,moszamos098,P2+: give 90000000000$
810,15:34:04,salene96,P1-: **** player 1
811,15:34:05,cauliflovver,P1+: energy + 50
813,15:34:07,elenightth,P2+: go
818,15:34:12,moszamos098,P1-: 322 player
820,15:34:14,seazagamer,P2+: Use Full Restore
821,15:34:15,mrforzechy,P1+: THE WORLD!
822,15:34:16,cauliflovver,P2-: dmg-50
822,15:34:16,moszamos098,P2+: fight
823,15:34:17,thanapatodyssey,P1+: don't give up
824,15:34:18,moszamos098,P2+: go
827,15:34:21,tonguip2020,P1+: god
830,15:34:24,salene96,P2+: Calm down and focus on your move
831,15:34:26,moszamos098,P2+: kill it
832,15:34:27,mrforzechy,P1+: STAR PLATINUM THE WOLRD
833,15:34:27,cauliflovver,P2-: give up
836,15:34:30,junkzx110,P1+:Fighting
839,15:34:34,pushmi_pullyu,P1-: stop try hard
851,15:34:46,tonguip2020,P1+: GGEZ
853,15:34:47,moszamos098,P2+: fight
857,15:34:52,moszamos098,P2+: fight!!
859,15:34:53,cauliflovver,P1+: go go
861,15:34:56,mrforzechy,P1=: GO
863,15:34:58,moszamos098,P2+: figght!!!!
865,15:35:00,mrforzechy,P1+: GO
866,15:35:00,cauliflovver,P1+: go go power renger
866,15:35:01,moszamos098,P2+: go go go
867,15:35:02,tonguip2020,P1+: go
868,15:35:03,moszamos098,P2+: go
871,15:35:05,kipsoo6,P1+: GG
872,15:35:07,salene96,P2+: GOGO POWER RANGER
872,15:35:07,cauliflovver,P1+: 1 2 3
873,15:35:08,moszamos098,P2+: go go five
874,15:35:09,thanapatodyssey,P1+: Fighting
877,15:35:11,cauliflovver,P1+: 4 5 I love you
877,15:35:12,moszamos098,P2+: win
879,15:35:13,thanapatodyssey,P2-: noob
881,15:35:16,moszamos098,P2+: fight!!!
884,15:35:19,kipsoo6,P1+: wow wow wow
884,15:35:19,thanapatodyssey,P1+: the best
884,15:35:19,mrforzechy,P1+: STAR FINGER
884,15:35:19,moszamos098,P2+: ezgame
885,15:35:20,salene96,P1-: NOOB
887,15:35:22,cauliflovver,P1+: 1+1=2
887,15:35:22,pushmi_pullyu,P2+: fight
892,15:35:27,cauliflovver,P1+: power+3000
892,15:35:27,mrforzechy,P1+: KICK HIM
893,15:35:28,moszamos098,P2+: pepe
896,15:35:31,moszamos098,P2+: fight
896,15:35:31,cauliflovver,P1+: hp+200
898,15:35:33,salene96,P1-: SO STUPID
899,15:35:34,mrforzechy,P2-: BOBO
900,15:35:35,tonguip2020,P1+: bobo
903,15:35:38,moszamos098,P2+: LUL
904,15:35:39,cauliflovver,P1+: power++
909,15:35:44,mrforzechy,P2-: GO SLEEP
910,15:35:45,salene96,P1-: BOBO
910,15:35:45,moszamos098,P2+: fight!!!!!
914,15:35:49,cauliflovver,P1+: god will bass you
918,15:35:53,pushmi_pullyu,P2+: SeemsGood
919,15:35:55,moszamos098,P2+: fight more
919,15:35:55,salene96,P1-: F
924,15:35:59,salene96,P1-: LUL
924,15:35:59,mrforzechy,P1+: use your ulti
925,15:36:00,cauliflovver,P1+: you can do
925,15:36:00,moszamos098,P2+: give power 5000000%
931,15:36:07,salene96,P1-: LUL movements
934,15:36:09,thanapatodyssey,P1+: Fighting
934,15:36:10,moszamos098,P2+: give money 9000000%
939,15:36:15,cauliflovver,P1+: pizza no pineapple
942,15:36:17,tonguip2020,P1+: fighting!!!
945,15:36:20,mrforzechy,P1+: kick him
946,15:36:22,moszamos098,P2+: give money 451315646$
954,15:36:29,mrforzechy,P1+: Punch him
954,15:36:30,cauliflovver,P1+: donate 2000 $
956,15:36:32,pushmi_pullyu,P2+: do
958,15:36:33,thanapatodyssey,P1+: kill him kill him kill him
958,15:36:34,moszamos098,P2+: give power 56486454%
960,15:36:36,salene96,P2+: MercyWing1 MercyWing2
960,15:36:36,mrforzechy,P1+: Move!
963,15:36:38,tonguip2020,P1+: kill
964,15:36:39,kipsoo6,P1+: God
964,15:36:40,moszamos098,P2+: power over 9000
964,15:36:40,cauliflovver,P1+: attack him
967,15:36:42,pushmi_pullyu,P2+: something
967,15:36:42,mrforzechy,P1+: Blessing!
969,15:36:45,moszamos098,P2+: attack
975,15:36:51,cauliflovver,P2-: Loss
977,15:36:53,moszamos098,P2+: fight
983,15:36:58,moszamos098,P2+: fight!!
984,15:37:00,salene96,P1-: SASAKEYO
986,15:37:01,mrforzechy,P1+:this is a fight to save the world
986,15:37:02,cauliflovver,P2-: you are thai
988,15:37:04,moszamos098,P2+: let's gooooo
993,15:37:09,tonguip2020,P1+: goo
997,15:37:12,mrforzechy,P1+:Excalibur!!!!!
998,15:37:14,moszamos098,P2+: fight!!!!
998,15:37:14,cauliflovver,P1+: can do
1001,15:37:17,mrforzechy,P1+:ROLL
1003,15:37:19,salene96,P2+: kill that girl
1003,15:37:19,thanapatodyssey,P2-: p2 is salim
1004,15:37:20,moszamos098,P2+: God
1004,15:37:20,cauliflovver,P1+: Stronger
1007,15:37:22,moszamos098,P2+: good
1010,15:37:26,cauliflovver,P1+: god finger
1011,15:37:27,mrforzechy,P1+:GO
1012,15:37:28,salene96,P2+: God hand
1013,15:37:29,moszamos098,P2+: Stronger !!!
1017,15:37:33,tonguip2020,P1+:  stronger!
1020,15:37:36,cauliflovver,P1+: gumbare
1021,15:37:37,thanapatodyssey,P2-: p2 is son of prayut
1023,15:37:39,moszamos098,P2+: give 60000$
1025,15:37:41,mrforzechy,P1+:MOVE
1030,15:37:47,moszamos098,P2+: win win
1033,15:37:49,moszamos098,P2+: move
1034,15:37:50,thanapatodyssey,P2-: p2 so noob
1035,15:37:52,mrforzechy,P1+:NICE MOVE
1038,15:37:54,cauliflovver,P1+: give up
